tract_id,total_buildings,total_TIV,peak_gust_mph,TIV_millions,lat,lon,expected_loss,MDR,loss_M,wind_mph,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4,wind_hol,wind_cgan,wind_diff,TIV_M,buildings
12071001209,209,33578500.0,150.7,33.58,26.603235563213783,-81.81905835661756,20657832.0,0.6152100897895975,20.66,150.7,5.0,14.0,28.0,43.0,117.0,150.7,150.82342591321222,0.1234259132122304,33.58,209
12071001300,475,76645000.0,150.9,76.64,26.58070868388376,-81.86365958684247,47127645.1,0.6148821854002218,47.13,150.9,11.0,34.0,67.0,97.0,266.0,150.9,152.0063838845648,1.1063838845647922,76.64,475
12071001401,223,35975500.0,150.2,35.98,26.585974026061347,-81.87790192701307,21957112.65,0.6103351628191408,21.96,150.2,6.0,16.0,33.0,46.0,124.0,150.2,149.41350963386654,-0.7864903661334495,35.98,223
12071001402,206,33133000.0,150.2,33.13,26.584671035213354,-81.88947985242268,20255933.7,0.61135223795008,20.26,150.2,5.0,14.0,28.0,42.0,115.0,150.2,151.7035470275185,1.5035470275185219,33.13,206
12071001501,188,30390000.0,149.2,30.39,26.566084444202183,-81.89018410800104,18352743.6,0.6039073247778876,18.35,149.2,5.0,13.0,27.0,38.0,102.0,149.2,149.23904196512177,0.039041965121782596,30.39,188
12071001502,153,24744000.0,150.3,24.74,26.568074152248258,-81.87808398322848,15076972.2,0.6093183074684771,15.08,150.3,5.0,11.0,22.0,31.0,85.0,150.3,150.8024593753101,0.5024593753100817,24.74,153
12071001601,263,42396500.0,150.6,42.4,26.55548179053782,-81.86350878176336,26000261.4,0.6132643354993926,26.0,150.6,6.0,19.0,38.0,53.0,146.0,150.6,150.6374400816559,0.03744008165591595,42.4,263
12071001602,418,67530500.0,150.1,67.53,26.53176936585425,-81.86289679931417,41142915.25,0.6092493799098185,41.14,150.1,11.0,30.0,60.0,85.0,232.0,150.1,153.8184172767634,3.718417276763404,67.53,418
12071001701,258,41703500.0,149.2,41.7,26.55114651280726,-81.899003891446,25164036.0,0.6034034553454746,25.16,149.2,6.0,19.0,38.0,52.0,141.0,149.2,150.1197541628931,0.9197541628930992,41.7,258
12071001705,248,39801500.0,149.6,39.8,26.533441574572105,-81.89299269951101,24209393.35,0.6082532907051241,24.21,149.6,6.0,18.0,36.0,51.0,137.0,149.6,148.95343360656614,-0.6465663934338579,39.8,248
12071001706,243,39114500.0,148.2,39.11,26.53026955243954,-81.91798199518084,23419445.05,0.5987407495941403,23.42,148.2,6.0,19.0,37.0,51.0,132.0,148.2,150.37381736815476,2.173817368154772,39.11,243
12071001708,177,28520500.0,150.3,28.52,26.553298855438896,-81.87856855496554,17440241.05,0.611498432706299,17.44,150.3,5.0,12.0,26.0,35.0,97.0,150.3,149.40873452504349,-0.8912654749565263,28.52,177
12071001709,318,51406500.0,150.2,51.41,26.53422273221775,-81.87996732933401,31338683.25,0.6096249161098305,31.34,150.2,9.0,24.0,45.0,65.0,177.0,150.2,151.45329539250713,1.253295392507141,51.41,318
12071001710,122,19653500.0,149.7,19.65,26.525944075572916,-81.90523040670863,11923721.7,0.6066971124736052,11.92,149.7,3.0,9.0,17.0,24.0,67.0,149.7,147.70049481418033,-1.9995051858196575,19.65,122
12071001711,167,26910000.0,149.6,26.91,26.538639429222453,-81.90513731268763,16344884.7,0.6073907357859532,16.34,149.6,5.0,12.0,24.0,34.0,92.0,149.6,148.54772092665235,-1.0522790733476484,26.91,167
12071001801,462,74446500.0,149.2,74.45,26.566971831678092,-81.90819587374897,44981418.0,0.6042113195381918,44.98,149.2,11.0,35.0,67.0,95.0,254.0,149.2,150.43529185380368,1.2352918538036874,74.45,462
12071001802,323,52099500.0,148.2,52.1,26.548739971503522,-81.92353384415037,31135741.95,0.5976207439610745,31.14,148.2,9.0,25.0,47.0,66.0,175.0,148.2,150.2476998699931,2.0476998699931244,52.1,323
12071001903,572,92181000.0,147.5,92.18,26.53070693802814,-81.94523923714897,54673331.7,0.5931084681224982,54.67,147.5,16.0,44.0,86.0,118.0,307.0,147.5,148.69705242178495,1.1970524217849459,92.18,572
12071001908,1315,212058000.0,148.9,212.06,26.471739067729754,-81.92821688487676,127716633.0,0.6022721755368814,127.72,148.9,36.0,98.0,192.0,270.0,718.0,148.9,149.66652757641765,0.7665275764176442,212.06,1315
12071001910,100,16124000.0,148.5,16.12,26.49132172294868,-81.95344274048807,9669689.0,0.5997078268419747,9.67,148.5,2.0,7.0,15.0,21.0,54.0,148.5,148.98834445661606,0.48834445661606196,16.12,100
12071001911,994,160355000.0,149.7,160.35,26.48071960389668,-81.97780302283778,97368174.6,0.6072038576907486,97.37,149.7,25.0,73.0,145.0,202.0,547.0,149.7,148.42221701444885,-1.2777829855511413,160.35,994
12071001912,193,31165000.0,148.5,31.16,26.4994284163819,-81.96034309640837,18657978.1,0.59868371891545,18.66,148.5,5.0,14.0,27.0,39.0,104.0,148.5,148.36023368740794,-0.13976631259205874,31.16,193
12071001913,154,24942000.0,148.2,24.94,26.50460198866378,-81.94769471619266,14867764.8,0.5960935289872504,14.87,148.2,5.0,12.0,22.0,32.0,84.0,148.2,148.4490418435603,0.24904184356032033,24.94,154
12071001915,1440,232157000.0,152.2,232.16,26.50626688091054,-81.99937391098383,144681672.0,0.6232061579017647,144.68,152.2,34.0,99.0,201.0,290.0,818.0,152.2,154.72568333932836,2.525683339328367,232.16,1440
12071001916,277,44644500.0,148.2,44.64,26.501882203868334,-81.93279810552762,26694880.05,0.5979433088062359,26.69,148.2,8.0,20.0,41.0,57.0,150.0,148.2,149.65542743435267,1.4554274343526856,44.64,277
12071001917,294,47487000.0,147.3,47.49,26.517334689772515,-81.93244173671656,28080995.700000003,0.5913406974540402,28.08,147.3,9.0,24.0,45.0,61.0,158.0,147.3,145.5954397669559,-1.7045602330441056,47.49,294
12071001918,156,25332000.0,149.7,25.33,26.514671689314294,-81.90459706256165,15336139.500000002,0.6054057910942682,15.34,149.7,5.0,11.0,22.0,31.0,85.0,149.7,151.12612595409217,1.4261259540921856,25.33,156
12071001919,187,30192000.0,148.8,30.19,26.510019788758132,-81.9167574743716,18150813.0,0.6011795508744038,18.15,148.8,5.0,13.0,27.0,38.0,101.0,148.8,149.16237657937555,0.36237657937553536,30.19,187
