tract_id,county_fips,n_units,MBT,pct_share,n_buildings,avg_sq_ft,TIV_per_unit,TIV_total,peak_gust_mph
12071001920,12071,484,W1,0.52,252,1800.0,198000.0,49896000.0,149.2
12071001920,12071,484,MH,0.3,145,900.0,49500.0,7177500.0,149.2
12071001920,12071,484,M1,0.1,48,1600.0,192000.0,9216000.0,149.2
12071001920,12071,484,C1,0.05,24,2000.0,280000.0,6720000.0,149.2
12071001920,12071,484,S1,0.03,15,2200.0,341000.0,5115000.0,149.2
12071001711,12071,167,W1,0.52,87,1800.0,198000.0,17226000.0,149.6
12071001711,12071,167,MH,0.3,50,900.0,49500.0,2475000.0,149.6
12071001711,12071,167,M1,0.1,17,1600.0,192000.0,3264000.0,149.6
12071001711,12071,167,C1,0.05,8,2000.0,280000.0,2240000.0,149.6
12071001711,12071,167,S1,0.03,5,2200.0,341000.0,1705000.0,149.6
12071001205,12071,166,W1,0.52,86,1800.0,198000.0,17028000.0,151.2
12071001205,12071,166,MH,0.3,50,900.0,49500.0,2475000.0,151.2
12071001205,12071,166,M1,0.1,17,1600.0,192000.0,3264000.0,151.2
12071001205,12071,166,C1,0.05,8,2000.0,280000.0,2240000.0,151.2
12071001205,12071,166,S1,0.03,5,2200.0,341000.0,1705000.0,151.2
12071001204,12071,697,W1,0.52,362,1800.0,198000.0,71676000.0,151.2
12071001204,12071,697,MH,0.3,209,900.0,49500.0,10345500.0,151.2
12071001204,12071,697,M1,0.1,70,1600.0,192000.0,13440000.0,151.2
12071001204,12071,697,C1,0.05,35,2000.0,280000.0,9800000.0,151.2
12071001204,12071,697,S1,0.03,21,2200.0,341000.0,7161000.0,151.2
12071010422,12071,508,W1,0.52,264,1800.0,198000.0,52272000.0,154.9
12071010422,12071,508,MH,0.3,152,900.0,49500.0,7524000.0,154.9
12071010422,12071,508,M1,0.1,51,1600.0,192000.0,9792000.0,154.9
12071010422,12071,508,C1,0.05,25,2000.0,280000.0,7000000.0,154.9
12071010422,12071,508,S1,0.03,15,2200.0,341000.0,5115000.0,154.9
12071040211,12071,852,W1,0.52,443,1800.0,198000.0,87714000.0,140.8
12071040211,12071,852,MH,0.3,256,900.0,49500.0,12672000.0,140.8
12071040211,12071,852,M1,0.1,85,1600.0,192000.0,16320000.0,140.8
12071040211,12071,852,C1,0.05,43,2000.0,280000.0,12040000.0,140.8
12071040211,12071,852,S1,0.03,26,2200.0,341000.0,8866000.0,140.8
12071050321,12071,508,W1,0.52,264,1800.0,198000.0,52272000.0,136.8
12071050321,12071,508,MH,0.3,152,900.0,49500.0,7524000.0,136.8
12071050321,12071,508,M1,0.1,51,1600.0,192000.0,9792000.0,136.8
12071050321,12071,508,C1,0.05,25,2000.0,280000.0,7000000.0,136.8
12071050321,12071,508,S1,0.03,15,2200.0,341000.0,5115000.0,136.8
12071040315,12071,553,W1,0.52,288,1800.0,198000.0,57024000.0,138.4
12071040315,12071,553,MH,0.3,166,900.0,49500.0,8217000.0,138.4
12071040315,12071,553,M1,0.1,55,1600.0,192000.0,10560000.0,138.4
12071040315,12071,553,C1,0.05,28,2000.0,280000.0,7840000.0,138.4
12071040315,12071,553,S1,0.03,17,2200.0,341000.0,5797000.0,138.4
12071001206,12071,406,W1,0.52,211,1800.0,198000.0,41778000.0,149.5
12071001206,12071,406,MH,0.3,122,900.0,49500.0,6039000.0,149.5
12071001206,12071,406,M1,0.1,41,1600.0,192000.0,7872000.0,149.5
12071001206,12071,406,C1,0.05,20,2000.0,280000.0,5600000.0,149.5
12071001206,12071,406,S1,0.03,12,2200.0,341000.0,4092000.0,149.5
12071040316,12071,298,W1,0.52,155,1800.0,198000.0,30690000.0,139.6
12071040316,12071,298,MH,0.3,89,900.0,49500.0,4405500.0,139.6
12071040316,12071,298,M1,0.1,30,1600.0,192000.0,5760000.0,139.6
12071040316,12071,298,C1,0.05,15,2000.0,280000.0,4200000.0,139.6
12071040316,12071,298,S1,0.03,9,2200.0,341000.0,3069000.0,139.6
12071001921,12071,2074,W1,0.52,1078,1800.0,198000.0,213444000.0,147.9
12071001921,12071,2074,MH,0.3,622,900.0,49500.0,30789000.0,147.9
12071001921,12071,2074,M1,0.1,207,1600.0,192000.0,39744000.0,147.9
12071001921,12071,2074,C1,0.05,104,2000.0,280000.0,29120000.0,147.9
12071001921,12071,2074,S1,0.03,62,2200.0,341000.0,21142000.0,147.9
12071010503,12071,219,W1,0.52,114,1800.0,198000.0,22572000.0,150.7
12071010503,12071,219,MH,0.3,66,900.0,49500.0,3267000.0,150.7
12071010503,12071,219,M1,0.1,22,1600.0,192000.0,4224000.0,150.7
12071010503,12071,219,C1,0.05,11,2000.0,280000.0,3080000.0,150.7
12071010503,12071,219,S1,0.03,7,2200.0,341000.0,2387000.0,150.7
12071040139,12071,407,W1,0.52,212,1800.0,198000.0,41976000.0,139.3
12071040139,12071,407,MH,0.3,122,900.0,49500.0,6039000.0,139.3
12071040139,12071,407,M1,0.1,41,1600.0,192000.0,7872000.0,139.3
12071040139,12071,407,C1,0.05,20,2000.0,280000.0,5600000.0,139.3
12071040139,12071,407,S1,0.03,12,2200.0,341000.0,4092000.0,139.3
12071040133,12071,310,W1,0.52,161,1800.0,198000.0,31878000.0,146.2
12071040133,12071,310,MH,0.3,93,900.0,49500.0,4603500.0,146.2
12071040133,12071,310,M1,0.1,31,1600.0,192000.0,5952000.0,146.2
12071040133,12071,310,C1,0.05,16,2000.0,280000.0,4480000.0,146.2
12071040133,12071,310,S1,0.03,9,2200.0,341000.0,3069000.0,146.2
12071040128,12071,570,W1,0.52,296,1800.0,198000.0,58608000.0,148.0
12071040128,12071,570,MH,0.3,171,900.0,49500.0,8464500.0,148.0
12071040128,12071,570,M1,0.1,57,1600.0,192000.0,10944000.0,148.0
12071040128,12071,570,C1,0.05,28,2000.0,280000.0,7840000.0,148.0
12071040128,12071,570,S1,0.03,17,2200.0,341000.0,5797000.0,148.0
12071001709,12071,317,W1,0.52,165,1800.0,198000.0,32670000.0,150.2
12071001709,12071,317,MH,0.3,95,900.0,49500.0,4702500.0,150.2
12071001709,12071,317,M1,0.1,32,1600.0,192000.0,6144000.0,150.2
12071001709,12071,317,C1,0.05,16,2000.0,280000.0,4480000.0,150.2
12071001709,12071,317,S1,0.03,10,2200.0,341000.0,3410000.0,150.2
12071001209,12071,210,W1,0.52,109,1800.0,198000.0,21582000.0,150.7
12071001209,12071,210,MH,0.3,63,900.0,49500.0,3118500.0,150.7
12071001209,12071,210,M1,0.1,21,1600.0,192000.0,4032000.0,150.7
12071001209,12071,210,C1,0.05,10,2000.0,280000.0,2800000.0,150.7
12071001209,12071,210,S1,0.03,6,2200.0,341000.0,2046000.0,150.7
12071010106,12071,587,W1,0.52,305,1800.0,198000.0,60390000.0,155.5
12071010106,12071,587,MH,0.3,176,900.0,49500.0,8712000.0,155.5
12071010106,12071,587,M1,0.1,59,1600.0,192000.0,11328000.0,155.5
12071010106,12071,587,C1,0.05,29,2000.0,280000.0,8120000.0,155.5
12071010106,12071,587,S1,0.03,18,2200.0,341000.0,6138000.0,155.5
12071010209,12071,190,W1,0.52,99,1800.0,198000.0,19602000.0,143.7
12071010209,12071,190,MH,0.3,57,900.0,49500.0,2821500.0,143.7
12071010209,12071,190,M1,0.1,19,1600.0,192000.0,3648000.0,143.7
12071010209,12071,190,C1,0.05,10,2000.0,280000.0,2800000.0,143.7
12071010209,12071,190,S1,0.03,6,2200.0,341000.0,2046000.0,143.7
12071001922,12071,212,W1,0.52,110,1800.0,198000.0,21780000.0,149.2
12071001922,12071,212,MH,0.3,64,900.0,49500.0,3168000.0,149.2
12071001922,12071,212,M1,0.1,21,1600.0,192000.0,4032000.0,149.2
12071001922,12071,212,C1,0.05,11,2000.0,280000.0,3080000.0,149.2
12071001922,12071,212,S1,0.03,6,2200.0,341000.0,2046000.0,149.2
12071010415,12071,3139,W1,0.52,1632,1800.0,198000.0,323136000.0,154.6
12071010415,12071,3139,MH,0.3,942,900.0,49500.0,46629000.0,154.6
12071010415,12071,3139,M1,0.1,314,1600.0,192000.0,60288000.0,154.6
12071010415,12071,3139,C1,0.05,157,2000.0,280000.0,43960000.0,154.6
12071010415,12071,3139,S1,0.03,94,2200.0,341000.0,32054000.0,154.6
12071020301,12071,402,W1,0.52,209,1800.0,198000.0,41382000.0,151.4
12071020301,12071,402,MH,0.3,121,900.0,49500.0,5989500.0,151.4
12071020301,12071,402,M1,0.1,40,1600.0,192000.0,7680000.0,151.4
12071020301,12071,402,C1,0.05,20,2000.0,280000.0,5600000.0,151.4
12071020301,12071,402,S1,0.03,12,2200.0,341000.0,4092000.0,151.4
12071070202,12071,8849,W1,0.52,4601,1800.0,198000.0,910998000.0,141.8
12071070202,12071,8849,MH,0.3,2655,900.0,49500.0,131422500.0,141.8
12071070202,12071,8849,M1,0.1,885,1600.0,192000.0,169920000.0,141.8
12071070202,12071,8849,C1,0.05,442,2000.0,280000.0,123760000.0,141.8
12071070202,12071,8849,S1,0.03,265,2200.0,341000.0,90365000.0,141.8
12071050324,12071,536,W1,0.52,279,1800.0,198000.0,55242000.0,119.7
12071050324,12071,536,MH,0.3,161,900.0,49500.0,7969500.0,119.7
12071050324,12071,536,M1,0.1,54,1600.0,192000.0,10368000.0,119.7
12071050324,12071,536,C1,0.05,27,2000.0,280000.0,7560000.0,119.7
12071050324,12071,536,S1,0.03,16,2200.0,341000.0,5456000.0,119.7
12071001207,12071,423,W1,0.52,220,1800.0,198000.0,43560000.0,150.2
12071001207,12071,423,MH,0.3,127,900.0,49500.0,6286500.0,150.2
12071001207,12071,423,M1,0.1,42,1600.0,192000.0,8064000.0,150.2
12071001207,12071,423,C1,0.05,21,2000.0,280000.0,5880000.0,150.2
12071001207,12071,423,S1,0.03,13,2200.0,341000.0,4433000.0,150.2
12071010416,12071,308,W1,0.52,160,1800.0,198000.0,31680000.0,154.7
12071010416,12071,308,MH,0.3,92,900.0,49500.0,4554000.0,154.7
12071010416,12071,308,M1,0.1,31,1600.0,192000.0,5952000.0,154.7
12071010416,12071,308,C1,0.05,15,2000.0,280000.0,4200000.0,154.7
12071010416,12071,308,S1,0.03,9,2200.0,341000.0,3069000.0,154.7
12071010414,12071,197,W1,0.52,102,1800.0,198000.0,20196000.0,150.9
12071010414,12071,197,MH,0.3,59,900.0,49500.0,2920500.0,150.9
12071010414,12071,197,M1,0.1,20,1600.0,192000.0,3840000.0,150.9
12071010414,12071,197,C1,0.05,10,2000.0,280000.0,2800000.0,150.9
12071010414,12071,197,S1,0.03,6,2200.0,341000.0,2046000.0,150.9
12071010207,12071,803,W1,0.52,418,1800.0,198000.0,82764000.0,149.5
12071010207,12071,803,MH,0.3,241,900.0,49500.0,11929500.0,149.5
12071010207,12071,803,M1,0.1,80,1600.0,192000.0,15360000.0,149.5
12071010207,12071,803,C1,0.05,40,2000.0,280000.0,11200000.0,149.5
12071010207,12071,803,S1,0.03,24,2200.0,341000.0,8184000.0,149.5
12071070201,12071,2634,W1,0.52,1370,1800.0,198000.0,271260000.0,152.8
12071070201,12071,2634,MH,0.3,790,900.0,49500.0,39105000.0,152.8
12071070201,12071,2634,M1,0.1,263,1600.0,192000.0,50496000.0,152.8
12071070201,12071,2634,C1,0.05,132,2000.0,280000.0,36960000.0,152.8
12071070201,12071,2634,S1,0.03,79,2200.0,341000.0,26939000.0,152.8
12071020302,12071,295,W1,0.52,153,1800.0,198000.0,30294000.0,149.6
12071020302,12071,295,MH,0.3,88,900.0,49500.0,4356000.0,149.6
12071020302,12071,295,M1,0.1,30,1600.0,192000.0,5760000.0,149.6
12071020302,12071,295,C1,0.05,15,2000.0,280000.0,4200000.0,149.6
12071020302,12071,295,S1,0.03,9,2200.0,341000.0,3069000.0,149.6
12071030205,12071,974,W1,0.52,506,1800.0,198000.0,100188000.0,141.9
12071030205,12071,974,MH,0.3,292,900.0,49500.0,14454000.0,141.9
12071030205,12071,974,M1,0.1,97,1600.0,192000.0,18624000.0,141.9
12071030205,12071,974,C1,0.05,49,2000.0,280000.0,13720000.0,141.9
12071030205,12071,974,S1,0.03,29,2200.0,341000.0,9889000.0,141.9
12071010112,12071,270,W1,0.52,140,1800.0,198000.0,27720000.0,146.3
12071010112,12071,270,MH,0.3,81,900.0,49500.0,4009500.0,146.3
12071010112,12071,270,M1,0.1,27,1600.0,192000.0,5184000.0,146.3
12071010112,12071,270,C1,0.05,14,2000.0,280000.0,3920000.0,146.3
12071010112,12071,270,S1,0.03,8,2200.0,341000.0,2728000.0,146.3
12071010113,12071,5264,W1,0.52,2737,1800.0,198000.0,541926000.0,153.0
12071010113,12071,5264,MH,0.3,1579,900.0,49500.0,78160500.0,153.0
12071010113,12071,5264,M1,0.1,526,1600.0,192000.0,100992000.0,153.0
12071010113,12071,5264,C1,0.05,263,2000.0,280000.0,73640000.0,153.0
12071010113,12071,5264,S1,0.03,158,2200.0,341000.0,53878000.0,153.0
12071010108,12071,791,W1,0.52,411,1800.0,198000.0,81378000.0,155.4
12071010108,12071,791,MH,0.3,237,900.0,49500.0,11731500.0,155.4
12071010108,12071,791,M1,0.1,79,1600.0,192000.0,15168000.0,155.4
12071010108,12071,791,C1,0.05,40,2000.0,280000.0,11200000.0,155.4
12071010108,12071,791,S1,0.03,24,2200.0,341000.0,8184000.0,155.4
12071050211,12071,164,W1,0.52,85,1800.0,198000.0,16830000.0,139.4
12071050211,12071,164,MH,0.3,49,900.0,49500.0,2425500.0,139.4
12071050211,12071,164,M1,0.1,16,1600.0,192000.0,3072000.0,139.4
12071050211,12071,164,C1,0.05,8,2000.0,280000.0,2240000.0,139.4
12071050211,12071,164,S1,0.03,5,2200.0,341000.0,1705000.0,139.4
12071050603,12071,238,W1,0.52,124,1800.0,198000.0,24552000.0,129.0
12071050603,12071,238,MH,0.3,71,900.0,49500.0,3514500.0,129.0
