tract_id,total_TIV,expected_loss,n_buildings,wind_mph,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4,MDR,loss_ratio,TIV_M,loss_M
12071001911,160355000.0,97368174.6,994,149.7,25.0,73.0,145.0,202.0,547.0,0.6072038576907486,0.6072038576907486,160.35,97.37
12071001912,31165000.0,18657978.1,193,148.5,5.0,14.0,27.0,39.0,104.0,0.59868371891545,0.59868371891545,31.16,18.66
12071001913,24942000.0,14867764.8,154,148.2,5.0,12.0,22.0,32.0,84.0,0.5960935289872504,0.5960935289872504,24.94,14.87
12071001916,44644500.0,26694880.05,277,148.2,8.0,20.0,41.0,57.0,150.0,0.5979433088062359,0.5979433088062359,44.64,26.69
12071001917,47487000.0,28080995.700000003,294,147.3,9.0,24.0,45.0,61.0,158.0,0.5913406974540402,0.5913406974540402,47.49,28.08
12071001918,25332000.0,15336139.500000002,156,149.7,5.0,11.0,22.0,31.0,85.0,0.6054057910942682,0.6054057910942682,25.33,15.34
12071001919,30192000.0,18150813.0,187,148.8,5.0,13.0,27.0,38.0,101.0,0.6011795508744038,0.6011795508744038,30.19,18.15
12071001920,78124500.0,47183913.0,484,149.2,13.0,35.0,72.0,99.0,266.0,0.6039579517308911,0.6039579517308911,78.12,47.18
12071001921,334239000.0,199127331.9,2073,147.9,58.0,159.0,310.0,429.0,1119.0,0.5957633067954368,0.5957633067954368,334.24,199.13
12071001922,34106000.0,20614681.2,212,149.2,5.0,16.0,31.0,43.0,116.0,0.6044297542954319,0.6044297542954319,34.11,20.61
12071001923,63803000.0,39317608.8,395,151.2,10.0,29.0,56.0,80.0,221.0,0.6162344842718994,0.6162344842718994,63.8,39.32
12071010104,43561500.0,28178453.55,270,156.2,5.0,16.0,35.0,54.0,160.0,0.6468660066802108,0.6468660066802108,43.56,28.18
12071010106,94688000.0,60891648.2,587,155.5,12.0,36.0,77.0,116.0,346.0,0.643076717218655,0.643076717218655,94.69,60.89
12071010107,66304500.0,42166193.1,411,154.3,9.0,26.0,56.0,82.0,239.0,0.6359476822840079,0.6359476822840079,66.3,42.17
12071010108,127661500.0,81989175.45,791,155.4,16.0,49.0,104.0,156.0,465.0,0.6422388539222867,0.6422388539222867,127.66,81.99
12071010109,121488000.0,78310837.2,753,155.8,15.0,46.0,99.0,149.0,446.0,0.6445973034373765,0.6445973034373765,121.49,78.31
12071010110,636142000.0,411144142.0,3946,156.0,78.0,242.0,512.0,774.0,2338.0,0.6463087518195623,0.6463087518195623,636.14,411.14
12071010111,148596000.0,95381016.0,921,155.3,18.0,58.0,121.0,182.0,541.0,0.6418814503755148,0.6418814503755148,148.6,95.38
12071010112,43561500.0,25474696.5,270,146.3,9.0,20.0,41.0,56.0,143.0,0.5847984229193209,0.5847984229193209,43.56,25.47
12071010113,848596500.0,533006213.7000001,5263,153.0,118.0,352.0,721.0,1054.0,3016.0,0.628103243060748,0.628103243060748,848.6,533.01
12071010203,157760000.0,94329274.0,979,148.2,26.0,75.0,145.0,202.0,530.0,0.5979289680527383,0.5979289680527383,157.76,94.33
12071010205,106645000.0,66840753.1,661,152.8,15.0,44.0,92.0,131.0,377.0,0.6267593708096957,0.6267593708096957,106.64,66.84
12071010206,141636000.0,88284042.0,879,152.2,19.0,60.0,122.0,177.0,500.0,0.623316402609506,0.623316402609506,141.64,88.28
12071010207,129437500.0,78476376.05,803,149.5,19.0,59.0,118.0,165.0,442.0,0.6062877917914051,0.6062877917914051,129.44,78.48
12071010208,94935500.0,56443765.3,589,147.7,16.0,45.0,88.0,122.0,317.0,0.5945485650783953,0.5945485650783953,94.94,56.44
12071010209,30917500.0,17509075.95,191,143.7,6.0,17.0,30.0,39.0,98.0,0.5663160329910245,0.5663160329910245,30.92,17.51
12071010210,78564000.0,45030915.6,487,144.5,16.0,42.0,77.0,103.0,251.0,0.5731749350847717,0.5731749350847717,78.56,45.03
12071010302,82428500.0,48080286.45,511,146.0,16.0,42.0,79.0,107.0,269.0,0.5832968748673093,0.5832968748673093,82.43,48.08
12071010303,60966500.0,36652752.3,378,148.7,11.0,29.0,56.0,79.0,208.0,0.6011949562464632,0.6011949562464632,60.97,36.65
12071010305,56942500.0,33233788.9,352,146.2,11.0,29.0,53.0,73.0,185.0,0.583637685384379,0.583637685384379,56.94,33.23
12071010306,75282000.0,46360354.8,467,151.0,11.0,33.0,65.0,96.0,262.0,0.6158225711325416,0.6158225711325416,75.28,46.36
12071010307,74397000.0,44701204.2,461,148.7,12.0,35.0,67.0,96.0,252.0,0.6008468647929351,0.6008468647929351,74.4,44.7
12071010308,55288000.0,32376120.4,344,146.2,11.0,28.0,52.0,70.0,181.0,0.5855903704239618,0.5855903704239618,55.29,32.38
12071010309,83654500.0,48863096.5,518,146.2,16.0,42.0,79.0,108.0,274.0,0.5841060134242629,0.5841060134242629,83.65,48.86
12071010404,114198500.0,71700951.5,709,152.9,16.0,47.0,96.0,142.0,406.0,0.6278624631672045,0.6278624631672045,114.2,71.7
12071010411,51654000.0,32284017.0,320,152.6,7.0,22.0,43.0,65.0,182.0,0.6250051690091765,0.6250051690091765,51.65,32.28
12071010412,47679000.0,29788154.1,295,152.6,6.0,19.0,41.0,59.0,167.0,0.624764657396338,0.624764657396338,47.68,29.79
12071010413,49257000.0,30349107.9,306,151.0,7.0,21.0,43.0,63.0,171.0,0.6161379682075644,0.6161379682075644,49.26,30.35
12071010414,31802500.0,19536041.95,197,150.9,5.0,14.0,27.0,41.0,111.0,0.6142926483767,0.6142926483767,31.8,19.54
12071010416,49455000.0,31605851.7,307,154.7,6.0,19.0,41.0,61.0,180.0,0.6390830391264786,0.6390830391264786,49.46,31.61
12071010417,44842500.0,28288075.2,278,153.4,6.0,18.0,38.0,56.0,160.0,0.630831804649607,0.630831804649607,44.84,28.29
12071010418,54545500.0,34524256.15,338,153.8,8.0,23.0,45.0,67.0,196.0,0.6329441686298595,0.6329441686298595,54.55,34.52
12071010419,74644500.0,47525486.7,463,154.4,10.0,30.0,62.0,92.0,269.0,0.636691071679762,0.636691071679762,74.64,47.53
12071010420,139140500.0,89341978.8,863,155.3,18.0,54.0,114.0,170.0,507.0,0.6420990207739659,0.6420990207739659,139.14,89.34
12071010421,82428500.0,52421013.9,511,154.3,11.0,33.0,68.0,103.0,298.0,0.635957392164118,0.635957392164118,82.43,52.42
12071010422,81703000.0,52290671.8,507,154.9,11.0,32.0,67.0,101.0,297.0,0.6400092016205036,0.6400092016205036,81.7,52.29
12071010423,324288500.0,207822316.45,2011,155.1,42.0,127.0,265.0,397.0,1179.0,0.6408562636356208,0.6408562636356208,324.29,207.82
12071010501,36223000.0,22286598.4,225,150.9,5.0,16.0,33.0,46.0,126.0,0.6152609778317643,0.6152609778317643,36.22,22.29
12071010503,35530000.0,21775983.9,220,150.7,5.0,16.0,32.0,45.0,124.0,0.6128900619195046,0.6128900619195046,35.53,21.78
12071010504,17009000.0,10465724.1,106,150.7,1.0,7.0,15.0,22.0,59.0,0.6153050796637074,0.6153050796637074,17.01,10.47
12071010601,45090000.0,27098741.4,280,148.6,7.0,20.0,41.0,57.0,152.0,0.6009922687957419,0.6009922687957419,45.09,27.1
12071010602,31165000.0,19016872.9,193,150.3,5.0,14.0,27.0,41.0,108.0,0.6101996759184982,0.6101996759184982,31.16,19.02
12071010801,74199000.0,46034925.3,460,151.8,11.0,32.0,64.0,93.0,261.0,0.620425144543727,0.620425144543727,74.2,46.03
12071010802,51901500.0,31710223.35,322,150.3,9.0,24.0,46.0,66.0,180.0,0.6109693043553655,0.6109693043553655,51.9,31.71
12071020102,84985000.0,51567811.1,527,149.6,14.0,39.0,76.0,107.0,290.0,0.6067872106842385,0.6067872106842385,84.98,51.57
