tract_id,MBT,n_buildings,TIV_total,wind_mph,p_DS1,p_DS2,p_DS3,p_DS4,prob_DS0,prob_DS1,prob_DS2,prob_DS3,prob_DS4,MDR,expected_loss,bldgs_DS0,bldgs_DS1,bldgs_DS2,bldgs_DS3,bldgs_DS4
12071040312,M1,55,10560000.0,135.3,0.9238,0.7572,0.5281,0.2854,0.0762,0.1666,0.2291,0.2428,0.2854,0.433,4572480.0,4.0,9.0,13.0,13.0,16.0
12071040312,C1,27,7560000.0,135.3,0.8366,0.6342,0.3841,0.166,0.1634,0.2024,0.25,0.2181,0.166,0.3041,2298996.0,4.0,5.0,7.0,6.0,4.0
12071040312,S1,16,5456000.0,135.3,0.8366,0.6342,0.3841,0.166,0.1634,0.2024,0.25,0.2181,0.166,0.3041,1659169.5999999999,3.0,3.0,4.0,3.0,3.0
12071040108,W1,256,50688000.0,148.4,0.9766,0.8933,0.728,0.4878,0.0234,0.0833,0.1653,0.2403,0.4878,0.6261,31735756.8,6.0,21.0,42.0,62.0,125.0
12071040108,MH,148,7326000.0,148.4,0.9935,0.9698,0.8944,0.7729,0.0065,0.0236,0.0754,0.1215,0.7729,0.8417,6166294.2,1.0,3.0,11.0,18.0,114.0
12071040108,M1,49,9408000.0,148.4,0.9549,0.8318,0.631,0.381,0.0451,0.1231,0.2008,0.2501,0.381,0.5285,4972128.0,2.0,6.0,10.0,12.0,19.0
12071040108,C1,25,7000000.0,148.4,0.8933,0.728,0.4878,0.2401,0.1067,0.1653,0.2403,0.2477,0.2401,0.3913,2739100.0,3.0,4.0,6.0,6.0,6.0
12071040108,S1,15,5115000.0,148.4,0.8933,0.728,0.4878,0.2401,0.1067,0.1653,0.2403,0.2477,0.2401,0.3913,2001499.5,2.0,2.0,4.0,4.0,4.0
12071050207,W1,129,25542000.0,143.0,0.9701,0.8726,0.6918,0.4457,0.0299,0.0975,0.1807,0.2461,0.4457,0.5888,15039129.6,4.0,13.0,23.0,32.0,57.0
12071050207,MH,75,3712500.0,143.0,0.9915,0.9629,0.8765,0.7441,0.0085,0.0286,0.0865,0.1324,0.7441,0.8195,3042393.75,1.0,2.0,6.0,10.0,56.0
12071050207,M1,25,4800000.0,143.0,0.944,0.8038,0.5904,0.3413,0.056,0.1401,0.2134,0.2491,0.3413,0.49,2352000.0,1.0,4.0,5.0,6.0,9.0
12071050207,C1,12,3360000.0,143.0,0.8726,0.6918,0.4457,0.2084,0.1274,0.1807,0.2461,0.2373,0.2084,0.3553,1193808.0,2.0,2.0,3.0,3.0,3.0
12071050207,S1,7,2387000.0,143.0,0.8726,0.6918,0.4457,0.2084,0.1274,0.1807,0.2461,0.2373,0.2084,0.3553,848101.1,1.0,1.0,2.0,2.0,1.0
12071050311,W1,578,114444000.0,133.7,0.9545,0.828,0.6213,0.3712,0.0455,0.1265,0.2067,0.2501,0.3712,0.5194,59442213.599999994,26.0,73.0,119.0,145.0,215.0
12071050311,MH,334,16533000.0,133.7,0.9868,0.9471,0.8388,0.6872,0.0132,0.0397,0.1084,0.1516,0.6872,0.7746,12806461.799999999,4.0,13.0,36.0,51.0,230.0
12071050311,M1,111,21312000.0,133.7,0.9188,0.7464,0.5146,0.2739,0.0812,0.1723,0.2319,0.2407,0.2739,0.4209,8970220.8,9.0,19.0,26.0,27.0,30.0
12071050311,C1,56,15680000.0,133.7,0.828,0.6213,0.3712,0.1577,0.172,0.2067,0.2501,0.2135,0.1577,0.2936,4603648.0,10.0,12.0,14.0,12.0,9.0
12071050311,S1,33,11253000.0,133.7,0.828,0.6213,0.3712,0.1577,0.172,0.2067,0.2501,0.2135,0.1577,0.2936,3303880.8000000003,6.0,7.0,8.0,7.0,5.0
12071050103,W1,183,36234000.0,144.6,0.9722,0.8791,0.7029,0.4583,0.0278,0.0931,0.1762,0.2446,0.4583,0.6001,21744023.4,5.0,17.0,32.0,45.0,84.0
12071050103,MH,106,5247000.0,144.6,0.9922,0.9651,0.8821,0.7529,0.0078,0.027,0.0831,0.1291,0.7529,0.8263,4335596.100000001,1.0,3.0,9.0,14.0,80.0
12071050103,M1,35,6720000.0,144.6,0.9475,0.8125,0.6028,0.3531,0.0525,0.1349,0.2098,0.2497,0.3531,0.5016,3370752.0000000005,2.0,5.0,7.0,9.0,12.0
12071050103,C1,18,5040000.0,144.6,0.8791,0.7029,0.4583,0.2177,0.1209,0.1762,0.2446,0.2406,0.2177,0.366,1844640.0,2.0,3.0,4.0,4.0,4.0
12071050103,S1,11,3751000.0,144.6,0.8791,0.7029,0.4583,0.2177,0.1209,0.1762,0.2446,0.2406,0.2177,0.366,1372866.0,1.0,2.0,3.0,3.0,2.0
12071001706,W1,127,25146000.0,148.2,0.9764,0.8926,0.7268,0.4862,0.0236,0.0838,0.1659,0.2405,0.4862,0.6248,15711220.8,3.0,11.0,21.0,31.0,62.0
12071001706,MH,73,3613500.0,148.2,0.9934,0.9696,0.8938,0.7719,0.0066,0.0238,0.0758,0.1219,0.7719,0.8409,3038592.15,0.0,2.0,6.0,9.0,56.0
12071001706,M1,24,4608000.0,148.2,0.9546,0.8308,0.6296,0.3795,0.0454,0.1237,0.2013,0.2501,0.3795,0.5271,2428876.8000000003,1.0,3.0,5.0,6.0,9.0
12071001706,C1,12,3360000.0,148.2,0.8926,0.7268,0.4862,0.2389,0.1074,0.1659,0.2405,0.2474,0.2389,0.3899,1310064.0,1.0,2.0,3.0,3.0,3.0
12071001706,S1,7,2387000.0,148.2,0.8926,0.7268,0.4862,0.2389,0.1074,0.1659,0.2405,0.2474,0.2389,0.3899,930691.3,1.0,1.0,2.0,2.0,2.0
12071010203,W1,509,100782000.0,148.2,0.9764,0.8926,0.7268,0.4862,0.0236,0.0838,0.1659,0.2405,0.4862,0.6248,62968593.6,12.0,43.0,84.0,122.0,247.0
12071010203,MH,294,14553000.0,148.2,0.9934,0.9696,0.8938,0.7719,0.0066,0.0238,0.0758,0.1219,0.7719,0.8409,12237617.7,2.0,7.0,22.0,36.0,227.0
12071010203,M1,98,18816000.0,148.2,0.9546,0.8308,0.6296,0.3795,0.0454,0.1237,0.2013,0.2501,0.3795,0.5271,9917913.6,4.0,12.0,20.0,25.0,37.0
12071010203,C1,49,13720000.0,148.2,0.8926,0.7268,0.4862,0.2389,0.1074,0.1659,0.2405,0.2474,0.2389,0.3899,5349428.0,5.0,8.0,12.0,12.0,12.0
12071010203,S1,29,9889000.0,148.2,0.8926,0.7268,0.4862,0.2389,0.1074,0.1659,0.2405,0.2474,0.2389,0.3899,3855721.1,3.0,5.0,7.0,7.0,7.0
12071001910,W1,52,10296000.0,148.5,0.9767,0.8937,0.7287,0.4885,0.0233,0.083,0.165,0.2401,0.4885,0.6268,6453532.8,1.0,4.0,9.0,12.0,25.0
12071001910,MH,30,1485000.0,148.5,0.9935,0.97,0.8947,0.7735,0.0065,0.0235,0.0753,0.1213,0.7735,0.8421,1250518.5,0.0,1.0,2.0,4.0,23.0
12071001910,M1,10,1920000.0,148.5,0.9551,0.8323,0.6318,0.3817,0.0449,0.1228,0.2005,0.2501,0.3817,0.5292,1016064.0,0.0,1.0,2.0,3.0,4.0
12071001910,C1,5,1400000.0,148.5,0.8937,0.7287,0.4885,0.2407,0.1063,0.165,0.2401,0.2479,0.2407,0.3919,548660.0,1.0,1.0,1.0,1.0,1.0
12071001910,S1,3,1023000.0,148.5,0.8937,0.7287,0.4885,0.2407,0.1063,0.165,0.2401,0.2479,0.2407,0.3919,400913.7,0.0,0.0,1.0,1.0,1.0
12071980000,W1,1068,211464000.0,143.1,0.9702,0.873,0.6925,0.4465,0.0298,0.0973,0.1805,0.246,0.4465,0.5895,124658028.0,32.0,104.0,193.0,263.0,477.0
12071980000,MH,616,30492000.0,143.1,0.9916,0.9631,0.8768,0.7446,0.0084,0.0285,0.0862,0.1322,0.7446,0.8199,25000390.799999997,5.0,18.0,53.0,81.0,459.0
12071980000,M1,205,39360000.0,143.1,0.9442,0.8044,0.5912,0.3421,0.0558,0.1398,0.2132,0.2492,0.3421,0.4908,19317888.0,11.0,29.0,44.0,51.0,70.0
12071980000,C1,103,28840000.0,143.1,0.873,0.6925,0.4465,0.209,0.127,0.1805,0.246,0.2375,0.209,0.3559,10264156.0,13.0,19.0,25.0,24.0,22.0
12071980000,S1,62,21142000.0,143.1,0.873,0.6925,0.4465,0.209,0.127,0.1805,0.246,0.2375,0.209,0.3559,7524437.8,8.0,11.0,15.0,15.0,13.0
12071080300,W1,189,37422000.0,151.2,0.9794,0.9028,0.7455,0.5091,0.0206,0.0766,0.1574,0.2364,0.5091,0.6445,24118479.0,4.0,14.0,30.0,45.0,96.0
12071080300,MH,109,5395500.0,151.2,0.9943,0.9729,0.9027,0.7868,0.0057,0.0214,0.0702,0.1159,0.7868,0.8522,4598045.1,1.0,2.0,8.0,13.0,86.0
12071080300,M1,36,6912000.0,151.2,0.9598,0.8449,0.651,0.4015,0.0402,0.1149,0.1939,0.2495,0.4015,0.5479,3787084.8000000003,1.0,4.0,7.0,9.0,14.0
12071080300,C1,18,5040000.0,151.2,0.9028,0.7455,0.5091,0.257,0.0972,0.1574,0.2364,0.2521,0.257,0.4098,2065392.0,2.0,3.0,4.0,5.0,5.0
12071080300,S1,11,3751000.0,151.2,0.9028,0.7455,0.5091,0.257,0.0972,0.1574,0.2364,0.2521,0.257,0.4098,1537159.8,1.0,2.0,3.0,3.0,3.0
12071040301,W1,397,78606000.0,142.9,0.97,0.8721,0.6911,0.4449,0.03,0.0978,0.181,0.2462,0.4449,0.5881,46228188.599999994,12.0,39.0,72.0,98.0,177.0
12071040301,MH,229,11335500.0,142.9,0.9915,0.9628,0.8761,0.7435,0.0085,0.0287,0.0867,0.1326,0.7435,0.8191,9284908.05,2.0,7.0,20.0,30.0,170.0
12071040301,M1,76,14592000.0,142.9,0.9437,0.8033,0.5897,0.3406,0.0563,0.1404,0.2136,0.2491,0.3406,0.4893,7139865.600000001,4.0,11.0,16.0,19.0,26.0
12071040301,C1,38,10640000.0,142.9,0.8721,0.6911,0.4449,0.2078,0.1279,0.181,0.2462,0.2371,0.2078,0.3546,3772944.0000000005,5.0,7.0,9.0,9.0,8.0
12071040301,S1,23,7843000.0,142.9,0.8721,0.6911,0.4449,0.2078,0.1279,0.181,0.2462,0.2371,0.2078,0.3546,2781127.8000000003,3.0,4.0,6.0,5.0,5.0
12071001920,W1,252,49896000.0,149.2,0.9774,0.8961,0.7331,0.4939,0.0226,0.0813,0.163,0.2392,0.4939,0.6314,31504334.4,6.0,20.0,41.0,60.0,124.0
12071001920,MH,145,7177500.0,149.2,0.9937,0.9708,0.8968,0.777,0.0063,0.0229,0.0739,0.1199,0.777,0.8448,6063552.0,1.0,3.0,11.0,17.0,113.0
